delta_percentile,rating_level,game_type,Apertura,Conteggio
0-25,expert,blitz,"Ruy Lopez: Exchange, Alekhine Variation",2
0-25,expert,blitz,Ruy Lopez: Fianchetto Defense,12
0-25,expert,blitz,Ruy Lopez: Lucena Variation,6
0-25,expert,blitz,"Ruy Lopez: Marshall Attack, Modern Main Line",3
0-25,expert,blitz,Ruy Lopez: Morphy Defense,8
0-25,expert,blitz,"Ruy Lopez: Morphy Defense, Anderssen Variation",46
0-25,expert,blitz,"Ruy Lopez: Morphy Defense, Arkhangelsk Variation",2
0-25,expert,blitz,"Ruy Lopez: Morphy Defense, Bayreuth Variation",1
0-25,expert,blitz,"Ruy Lopez: Morphy Defense, Caro Variation",60
0-25,expert,blitz,"Ruy Lopez: Morphy Defense, Classical Defense Deferred",18
0-25,expert,blitz,"Ruy Lopez: Morphy Defense, Cozio Defense",2
0-25,expert,blitz,"Ruy Lopez: Morphy Defense, Graz Variation",5
0-25,expert,blitz,"Ruy Lopez: Morphy Defense, Jaffe Gambit",1
0-25,expert,blitz,"Ruy Lopez: Morphy Defense, Mackenzie Variation",30
0-25,expert,blitz,"Ruy Lopez: Morphy Defense, Modern Steinitz Defense",21
0-25,expert,blitz,"Ruy Lopez: Morphy Defense, Modern Steinitz Defense, Fianchetto Variation",1
0-25,expert,blitz,"Ruy Lopez: Morphy Defense, Modern Steinitz Defense, Siesta Variation",1
0-25,expert,blitz,"Ruy Lopez: Morphy Defense, Neo-Arkhangelsk Variation",1
0-25,expert,blitz,"Ruy Lopez: Morphy Defense, Norwegian Variation",1
0-25,expert,blitz,"Ruy Lopez: Morphy Defense, Schliemann Defense Deferred",3
0-25,expert,blitz,"Ruy Lopez: Morphy Defense, Steinitz Deferred",1
0-25,expert,blitz,"Ruy Lopez: Morphy Defense, Tarrasch Variation",5
0-25,expert,blitz,"Ruy Lopez: Morphy Defense, Wing Attack",1
0-25,expert,blitz,"Ruy Lopez: Morphy Defense, Wormald Attack",120
0-25,expert,blitz,Ruy Lopez: Nürnberg Variation,3
0-25,expert,blitz,"Ruy Lopez: Open Berlin Defense, l'Hermet Variation",70
0-25,expert,blitz,"Ruy Lopez: Open, Bernstein Variation",1
0-25,expert,blitz,"Ruy Lopez: Open, Classical Defense",1
0-25,expert,blitz,"Ruy Lopez: Open, Howell Attack",2
0-25,expert,blitz,"Ruy Lopez: Open, Malkin Variation",1
0-25,expert,blitz,"Ruy Lopez: Open, Skipworth Gambit",1
0-25,expert,blitz,Ruy Lopez: Schliemann Defense,144
0-25,expert,blitz,"Ruy Lopez: Schliemann Defense, Classical Variation",2
0-25,expert,blitz,"Ruy Lopez: Schliemann Defense, Dyckhoff Variation",9
0-25,expert,blitz,"Ruy Lopez: Schliemann Defense, Exchange Variation",45
0-25,expert,blitz,"Ruy Lopez: Schliemann Defense, Jaenisch Gambit Accepted",20
0-25,expert,blitz,"Ruy Lopez: Schliemann Defense, Schönemann Attack",83
0-25,expert,blitz,"Ruy Lopez: Schliemann Defense, Tartakower Variation",53
0-25,expert,blitz,Ruy Lopez: Spanish Countergambit,2
0-25,expert,blitz,Ruy Lopez: Steinitz Defense,116
0-25,expert,blitz,"Ruy Lopez: Steinitz Defense, Nimzowitsch Attack",1
0-25,expert,blitz,Ruy Lopez: Vinogradov Variation,3
0-25,expert,blitz,Réti Opening,8
0-25,expert,blitz,Réti Opening: Advance Variation,5
0-25,expert,blitz,"Réti Opening: Advance Variation, Michel Gambit",4
0-25,expert,blitz,"Réti Opening: Anglo-Slav Variation, Bled Variation",1
0-25,expert,blitz,"Réti Opening: Anglo-Slav Variation, Bogoljubow Variation",6
0-25,expert,blitz,"Réti Opening: Anglo-Slav Variation, Bogoljubow Variation, Stonewall Line",1
0-25,expert,blitz,"Réti Opening: Anglo-Slav Variation, New York System",4
0-25,expert,blitz,"Réti Opening: Anglo-Slav Variation, Torre System",1
0-25,expert,blitz,Réti Opening: Reversed Blumenfeld Gambit,4
0-25,expert,blitz,Réti Opening: Réti Accepted,4
0-25,expert,blitz,Saragossa Opening,59
0-25,expert,blitz,Scandinavian Defense,344
0-25,expert,blitz,Scandinavian Defense: Blackburne Gambit,5
0-25,expert,blitz,Scandinavian Defense: Blackburne-Kloosterboer Gambit,9
0-25,expert,blitz,Scandinavian Defense: Boehnke Gambit,2
0-25,expert,blitz,Scandinavian Defense: Bronstein Variation,1
0-25,expert,blitz,Scandinavian Defense: Classical Variation,2
0-25,expert,blitz,Scandinavian Defense: Gubinsky-Melts Defense,29
0-25,expert,blitz,Scandinavian Defense: Icelandic-Palme Gambit,13
0-25,expert,blitz,Scandinavian Defense: Kiel Variation,1
0-25,expert,blitz,Scandinavian Defense: Kloosterboer Gambit,1
0-25,expert,blitz,Scandinavian Defense: Lasker Variation,3
0-25,expert,blitz,Scandinavian Defense: Main Line,58
0-25,expert,blitz,"Scandinavian Defense: Main Line, Leonhardt Gambit",1
0-25,expert,blitz,"Scandinavian Defense: Main Line, Mieses Variation",11
0-25,expert,blitz,Scandinavian Defense: Marshall Variation,4
0-25,expert,blitz,Scandinavian Defense: Mieses-Kotroc Variation,138
0-25,expert,blitz,Scandinavian Defense: Modern Variation,54
0-25,expert,blitz,"Scandinavian Defense: Modern Variation, Gipslis Variation",1
0-25,expert,blitz,Scandinavian Defense: Panov Transfer,7
0-25,expert,blitz,"Scandinavian Defense: Portuguese Gambit, Banker Variation",2
0-25,expert,blitz,"Scandinavian Defense: Portuguese Gambit, Classical Variation",7
0-25,expert,blitz,"Scandinavian Defense: Portuguese Gambit, Wuss Variation",2
0-25,expert,blitz,Scandinavian Defense: Richter Variation,7
0-25,expert,blitz,Scandinavian Defense: Schiller-Pytel Variation,2
0-25,expert,blitz,Scandinavian Defense: Valencian Variation,69
0-25,expert,blitz,"Scandinavian Defense: Valencian Variation, Ilundain Variation",7
0-25,expert,blitz,"Scandinavian Defense: Valencian Variation, Main Line",10
0-25,expert,blitz,Scotch Game,66
0-25,expert,blitz,Scotch Game: Benima Defense,11
0-25,expert,blitz,Scotch Game: Blumenfeld Attack,1
0-25,expert,blitz,Scotch Game: Classical Variation,26
0-25,expert,blitz,"Scotch Game: Classical Variation, Blackburne Attack",9
0-25,expert,blitz,"Scotch Game: Classical Variation, Intermezzo Variation",19
0-25,expert,blitz,"Scotch Game: Classical Variation, Millennium Variation",1
0-25,expert,blitz,Scotch Game: Fraser Variation,1
0-25,expert,blitz,Scotch Game: Göring Gambit,15
0-25,expert,blitz,"Scotch Game: Göring Gambit, Bardeleben Variation",1
0-25,expert,blitz,"Scotch Game: Göring Gambit, Double Pawn Sacrifice",6
0-25,expert,blitz,"Scotch Game: Göring Gambit, Main Line",1
0-25,expert,blitz,Scotch Game: Haxo Gambit,10
0-25,expert,blitz,Scotch Game: Horwitz Attack,1
0-25,expert,blitz,Scotch Game: Lolli Variation,43
0-25,expert,blitz,Scotch Game: Malaniuk Variation,4
0-25,expert,blitz,Scotch Game: Meitner Variation,2
0-25,expert,blitz,Scotch Game: Mieses Variation,36
0-25,expert,blitz,Scotch Game: Modern Defense,3
0-25,expert,blitz,Scotch Game: Paulsen Attack,2
0-25,expert,blitz,Scotch Game: Potter Variation,36
0-25,expert,blitz,Scotch Game: Schmidt Variation,32
0-25,expert,blitz,Scotch Game: Scotch Gambit,28
0-25,expert,blitz,"Scotch Game: Scotch Gambit, Advance Variation",15
0-25,expert,blitz,"Scotch Game: Scotch Gambit, Cochrane-Anderssen Variation",1
0-25,expert,blitz,"Scotch Game: Scotch Gambit, Dubois Réti Defense",3
0-25,expert,blitz,"Scotch Game: Scotch Gambit, Göring Gambit Declined",3
0-25,expert,blitz,Scotch Game: Steinitz Variation,2
0-25,expert,blitz,Scotch Game: Tartakower Variation,1
0-25,expert,blitz,Semi-Slav Defense,35
0-25,expert,blitz,Semi-Slav Defense Accepted,2
0-25,expert,blitz,Semi-Slav Defense: Accelerated Meran Variation,3
0-25,expert,blitz,Semi-Slav Defense: Accelerated Move Order,94
0-25,expert,blitz,Semi-Slav Defense: Anti-Moscow Gambit,8
0-25,expert,blitz,Semi-Slav Defense: Bogoljubow Variation,3
0-25,expert,blitz,Semi-Slav Defense: Botvinnik Variation,4
0-25,expert,blitz,"Semi-Slav Defense: Botvinnik Variation, Lilienthal Variation",8
0-25,expert,blitz,Semi-Slav Defense: Chigorin Defense,2
0-25,expert,blitz,Semi-Slav Defense: Gunderam Gambit,1
0-25,expert,blitz,Semi-Slav Defense: Main Line,16
0-25,expert,blitz,Semi-Slav Defense: Marshall Gambit,7
0-25,expert,blitz,Semi-Slav Defense: Meran Variation,4
0-25,expert,blitz,"Semi-Slav Defense: Meran Variation, Reynolds' Variation",1
0-25,expert,blitz,"Semi-Slav Defense: Meran Variation, Wade Variation",1
0-25,expert,blitz,Semi-Slav Defense: Normal Variation,2
0-25,expert,blitz,Semi-Slav Defense: Noteboom Variation,12
0-25,expert,blitz,"Semi-Slav Defense: Noteboom Variation, Abrahams Variation",1
0-25,expert,blitz,"Semi-Slav Defense: Noteboom Variation, Anti-Noteboom Gambit",1
0-25,expert,blitz,Semi-Slav Defense: Stoltz Variation,6
0-25,expert,blitz,Semi-Slav Defense: Stonewall Defense,1
0-25,expert,blitz,Sicilian Defense,203
0-25,expert,blitz,Sicilian Defense: Accelerated Dragon,1
0-25,expert,blitz,"Sicilian Defense: Accelerated Dragon, Exchange Variation",97
0-25,expert,blitz,"Sicilian Defense: Accelerated Dragon, Maróczy Bind",54
0-25,expert,blitz,"Sicilian Defense: Accelerated Dragon, Maróczy Bind, Breyer Variation",3
0-25,expert,blitz,"Sicilian Defense: Accelerated Dragon, Maróczy Bind, Gurgenidze Variation",4
0-25,expert,blitz,"Sicilian Defense: Accelerated Dragon, Modern Bc4 Variation",10
0-25,expert,blitz,"Sicilian Defense: Accelerated Dragon, Modern Variation",28
0-25,expert,blitz,Sicilian Defense: Alapin Variation,169
0-25,expert,blitz,"Sicilian Defense: Alapin Variation, Barmen Defense",59
0-25,expert,blitz,"Sicilian Defense: Alapin Variation, Barmen Defense, Central Exchange",6
0-25,expert,blitz,"Sicilian Defense: Alapin Variation, Barmen Defense, Endgame Variation",1
0-25,expert,blitz,"Sicilian Defense: Alapin Variation, Barmen Defense, Milner-Barry Attack",1
0-25,expert,blitz,"Sicilian Defense: Alapin Variation, Barmen Defense, Modern Line",41
0-25,expert,blitz,"Sicilian Defense: Alapin Variation, Sherzer Variation",1
0-25,expert,blitz,"Sicilian Defense: Alapin Variation, Smith-Morra Declined",36
0-25,expert,blitz,"Sicilian Defense: Alapin Variation, Stoltz Attack",5
0-25,expert,blitz,Sicilian Defense: Boleslavsky Variation,1
0-25,expert,blitz,Sicilian Defense: Bowdler Attack,39
0-25,expert,blitz,Sicilian Defense: Brick Variation,1
0-25,expert,blitz,Sicilian Defense: Chekhover Variation,4
0-25,expert,blitz,Sicilian Defense: Classical Variation,54
0-25,expert,blitz,"Sicilian Defense: Classical Variation, Anti-Sozin Variation",2
0-25,expert,blitz,"Sicilian Defense: Classical Variation, Sozin Attack",1
0-25,expert,blitz,Sicilian Defense: Closed,442
0-25,expert,blitz,"Sicilian Defense: Closed, Botvinnik Defense, with Nge2",2
0-25,expert,blitz,"Sicilian Defense: Closed, Botvinnik Defense, with f4",1
0-25,expert,blitz,"Sicilian Defense: Closed, Chameleon Variation",3
0-25,expert,blitz,"Sicilian Defense: Closed, Fianchetto Variation",9
0-25,expert,blitz,"Sicilian Defense: Closed, Grob Attack",1
0-25,expert,blitz,"Sicilian Defense: Closed, Korchnoi Defense",13
0-25,expert,blitz,"Sicilian Defense: Closed, Traditional",41
0-25,expert,blitz,Sicilian Defense: Delayed Alapin Variation,120
0-25,expert,blitz,"Sicilian Defense: Delayed Alapin Variation, Basman-Palatnik Double Gambit",5
0-25,expert,blitz,"Sicilian Defense: Delayed Alapin Variation, Basman-Palatnik Gambit",1
0-25,expert,blitz,"Sicilian Defense: Delayed Alapin Variation, with d6",98
0-25,expert,blitz,"Sicilian Defense: Delayed Alapin Variation, with e6",148
0-25,expert,blitz,Sicilian Defense: Dragon Variation,21
0-25,expert,blitz,"Sicilian Defense: Dragon Variation, Accelerated Dragon",2
0-25,expert,blitz,"Sicilian Defense: Dragon Variation, Classical Variation",3
0-25,expert,blitz,"Sicilian Defense: Dragon Variation, Classical Variation, Normal Line",1
0-25,expert,blitz,"Sicilian Defense: Dragon Variation, Levenfish Variation",5
0-25,expert,blitz,"Sicilian Defense: Dragon Variation, Modern Bc4 Variation",6
0-25,expert,blitz,"Sicilian Defense: Dragon Variation, Yugoslav Attack",3
0-25,expert,blitz,"Sicilian Defense: Dragon Variation, Yugoslav Attack, Belezky Line",12
0-25,expert,blitz,"Sicilian Defense: Dragon Variation, Yugoslav Attack, Early Deviations",15
0-25,expert,blitz,"Sicilian Defense: Dragon Variation, Yugoslav Attack, Main Line",1
0-25,expert,blitz,"Sicilian Defense: Dragon Variation, Yugoslav Attack, Modern Line",146
0-25,expert,blitz,"Sicilian Defense: Dragon Variation, Yugoslav Attack, Old Line",2
0-25,expert,blitz,"Sicilian Defense: Dragon Variation, Yugoslav Attack, Panov Variation",6
0-25,expert,blitz,Sicilian Defense: Drazic Variation,15
0-25,expert,blitz,"Sicilian Defense: Euwe Attack, Prins Gambit",1
0-25,expert,blitz,Sicilian Defense: Four Knights Variation,14
0-25,expert,blitz,"Sicilian Defense: Four Knights Variation, Cobra Variation",1
0-25,expert,blitz,"Sicilian Defense: Four Knights Variation, Exchange Variation",134
0-25,expert,blitz,Sicilian Defense: Franco-Sicilian Variation,3
0-25,expert,blitz,Sicilian Defense: French Variation,409
0-25,expert,blitz,"Sicilian Defense: French Variation, Normal",11
0-25,expert,blitz,"Sicilian Defense: French Variation, Open",26
0-25,expert,blitz,"Sicilian Defense: French Variation, Westerinen Attack",51
0-25,expert,blitz,Sicilian Defense: Godiva Variation,10
0-25,expert,blitz,Sicilian Defense: Grand Prix Attack,86
0-25,expert,blitz,"Sicilian Defense: Grand Prix Attack, Schofman Variation",1
0-25,expert,blitz,Sicilian Defense: Heidenfeld Variation,7
0-25,expert,blitz,Sicilian Defense: Hyperaccelerated Dragon,71
0-25,expert,blitz,Sicilian Defense: Hyperaccelerated Fianchetto,109
0-25,expert,blitz,Sicilian Defense: Hyperaccelerated Pterodactyl,13
0-25,expert,blitz,"Sicilian Defense: Hyperaccelerated Pterodactyl, Exchange Variation",1
0-25,expert,blitz,Sicilian Defense: Jalalabad Variation,2
0-25,expert,blitz,Sicilian Defense: Kalashnikov Variation,192
0-25,expert,blitz,Sicilian Defense: Kan Variation,64
0-25,expert,blitz,"Sicilian Defense: Kan Variation, Knight Variation",494
0-25,expert,blitz,"Sicilian Defense: Kan Variation, Maróczy Bind, Bronstein Variation",1
0-25,expert,blitz,"Sicilian Defense: Kan Variation, Maróczy Bind, Réti Variation",162
0-25,expert,blitz,"Sicilian Defense: Kan Variation, Modern Variation",120
0-25,expert,blitz,"Sicilian Defense: Kan Variation, Polugaevsky Variation",4
0-25,expert,blitz,"Sicilian Defense: Kan Variation, Swiss Cheese Variation",1
0-25,expert,blitz,"Sicilian Defense: Kan Variation, Wing Attack",27
0-25,expert,blitz,"Sicilian Defense: Kan Variation, Wing Attack, Fianchetto Variation",13
0-25,expert,blitz,"Sicilian Defense: Kan Variation, Wing Attack, Spraggett Attack",1
0-25,expert,blitz,Sicilian Defense: Katalimov Variation,3
0-25,expert,blitz,Sicilian Defense: Keres Variation,10
0-25,expert,blitz,Sicilian Defense: King David's Opening,2
0-25,expert,blitz,Sicilian Defense: Kramnik Variation,44
0-25,expert,blitz,Sicilian Defense: Kronberger Variation,1
0-25,expert,blitz,Sicilian Defense: Kveinis Variation,3
0-25,expert,blitz,Sicilian Defense: Lasker-Dunne Attack,19
0-25,expert,blitz,Sicilian Defense: Lasker-Pelikan Variation,124
0-25,expert,blitz,"Sicilian Defense: Lasker-Pelikan Variation, Bird Variation",3
0-25,expert,blitz,"Sicilian Defense: Lasker-Pelikan Variation, Exchange Variation",3
0-25,expert,blitz,"Sicilian Defense: Lasker-Pelikan Variation, Retreat Variation",2
0-25,expert,blitz,"Sicilian Defense: Lasker-Pelikan Variation, Schlechter Variation",2
0-25,expert,blitz,"Sicilian Defense: Lasker-Pelikan Variation, Sveshnikov Variation",2
0-25,expert,blitz,"Sicilian Defense: Lasker-Pelikan Variation, Sveshnikov Variation, Chelyabinsk Variation",38
0-25,expert,blitz,Sicilian Defense: Löwenthal Variation,108
0-25,expert,blitz,Sicilian Defense: Magnus Smith Trap,1
0-25,expert,blitz,Sicilian Defense: Marshall Counterattack,12
0-25,expert,blitz,Sicilian Defense: McDonnell Attack,87
0-25,expert,blitz,"Sicilian Defense: McDonnell Attack, Tal Gambit",4
0-25,expert,blitz,Sicilian Defense: Mengarini Variation,40
0-25,expert,blitz,Sicilian Defense: Modern Variations,208
0-25,expert,blitz,"Sicilian Defense: Modern Variations, Main Line",8
0-25,expert,blitz,"Sicilian Defense: Modern Variations, Tartakower",5
0-25,expert,blitz,Sicilian Defense: Morphy Gambit,7
0-25,expert,blitz,"Sicilian Defense: Morphy Gambit, Andreaschek Gambit",2
0-25,expert,blitz,Sicilian Defense: Moscow Variation,37
0-25,expert,blitz,"Sicilian Defense: Moscow Variation, Main Line",18
0-25,expert,blitz,"Sicilian Defense: Moscow Variation, Sokolsky Variation",20
0-25,expert,blitz,Sicilian Defense: Najdorf Variation,256
0-25,expert,blitz,"Sicilian Defense: Najdorf Variation, Adams Attack",11
0-25,expert,blitz,"Sicilian Defense: Najdorf Variation, Amsterdam Variation",33
0-25,expert,blitz,"Sicilian Defense: Najdorf Variation, Browne Variation",10
0-25,expert,blitz,"Sicilian Defense: Najdorf Variation, English Attack",5
0-25,expert,blitz,"Sicilian Defense: Najdorf Variation, English Attack, Anti-English",4
0-25,expert,blitz,"Sicilian Defense: Najdorf Variation, Freak Attack",3
0-25,expert,blitz,"Sicilian Defense: Najdorf Variation, Goteborg Variation",6
0-25,expert,blitz,"Sicilian Defense: Najdorf Variation, Lipnitsky Attack",20
0-25,expert,blitz,"Sicilian Defense: Najdorf Variation, Main Line",93
0-25,expert,blitz,"Sicilian Defense: Najdorf Variation, Neo-Classical Defense",6
0-25,expert,blitz,"Sicilian Defense: Najdorf Variation, Opocensky Variation",13
0-25,expert,blitz,"Sicilian Defense: Najdorf Variation, Poisoned Pawn Accepted",27
0-25,expert,blitz,"Sicilian Defense: Najdorf Variation, Poisoned Pawn Variation",11
0-25,expert,blitz,"Sicilian Defense: Najdorf Variation, Polugaevsky Variation",14
0-25,expert,blitz,"Sicilian Defense: Najdorf Variation, Polugaevsky Variation, Simagin Line",2
0-25,expert,blitz,"Sicilian Defense: Najdorf Variation, Traditional Line",31
0-25,expert,blitz,"Sicilian Defense: Najdorf Variation, Zagreb Variation",3
0-25,expert,blitz,Sicilian Defense: Nimzo-American Variation,7
0-25,expert,blitz,Sicilian Defense: Nimzowitsch Variation,15
0-25,expert,blitz,"Sicilian Defense: Nimzowitsch Variation, Advance Variation",6
0-25,expert,blitz,"Sicilian Defense: Nimzowitsch Variation, Closed Variation",8
0-25,expert,blitz,"Sicilian Defense: Nimzowitsch Variation, Exchange Variation",1
0-25,expert,blitz,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack,124
0-25,expert,blitz,"Sicilian Defense: Nyezhmetdinov-Rossolimo Attack, Fianchetto Variation",80
0-25,expert,blitz,"Sicilian Defense: Nyezhmetdinov-Rossolimo Attack, Fianchetto Variation, Gufeld Gambit",3
0-25,expert,blitz,"Sicilian Defense: Nyezhmetdinov-Rossolimo Attack, Fianchetto Variation, Lutikov Gambit",2
0-25,expert,blitz,"Sicilian Defense: Nyezhmetdinov-Rossolimo Attack, Gurgenidze Variation",5
0-25,expert,blitz,Sicilian Defense: O'Kelly Variation,4
0-25,expert,blitz,"Sicilian Defense: O'Kelly Variation, Aronin System",1
0-25,expert,blitz,"Sicilian Defense: O'Kelly Variation, Kieseritzky System",4
0-25,expert,blitz,"Sicilian Defense: O'Kelly Variation, Maróczy Bind",8
0-25,expert,blitz,"Sicilian Defense: O'Kelly Variation, Maróczy Bind, Paulsen Line",17
0-25,expert,blitz,"Sicilian Defense: O'Kelly Variation, Maróczy Bind, Robatsch Line",7
0-25,expert,blitz,"Sicilian Defense: O'Kelly Variation, Normal System",28
0-25,expert,blitz,"Sicilian Defense: O'Kelly Variation, Normal System, Cortlever Gambit",1
0-25,expert,blitz,"Sicilian Defense: O'Kelly Variation, Normal System, Smith-Morra Line",27
0-25,expert,blitz,"Sicilian Defense: O'Kelly Variation, Normal System, Taimanov Line",27
0-25,expert,blitz,"Sicilian Defense: O'Kelly Variation, Normal System, Zagorovsky Line",4
0-25,expert,blitz,"Sicilian Defense: O'Kelly Variation, Quiet System",10
0-25,expert,blitz,"Sicilian Defense: O'Kelly Variation, Réti System",8
0-25,expert,blitz,"Sicilian Defense: O'Kelly Variation, Venice System",10
0-25,expert,blitz,"Sicilian Defense: O'Kelly Variation, Venice System, Barcza Line",17
0-25,expert,blitz,"Sicilian Defense: O'Kelly Variation, Venice System, Steiner Line",2
0-25,expert,blitz,"Sicilian Defense: O'Kelly Variation, Wing Gambit",3
0-25,expert,blitz,"Sicilian Defense: O'Kelly Variation, Yerevan System",7
0-25,expert,blitz,Sicilian Defense: Old Sicilian,278
0-25,expert,blitz,Sicilian Defense: Open,84
0-25,expert,blitz,Sicilian Defense: Paulsen-Basman Defense,94
0-25,expert,blitz,Sicilian Defense: Pin Variation,7
0-25,expert,blitz,"Sicilian Defense: Pin Variation, Koch Variation",17
0-25,expert,blitz,Sicilian Defense: Portsmouth Gambit,10
0-25,expert,blitz,Sicilian Defense: Prins Variation,4
0-25,expert,blitz,Sicilian Defense: Quinteros Variation,1
0-25,expert,blitz,Sicilian Defense: Richter-Rauzer Variation,14
0-25,expert,blitz,"Sicilian Defense: Richter-Rauzer Variation, Classical Variation",17
0-25,expert,blitz,"Sicilian Defense: Richter-Rauzer Variation, Dragon Variation",6
0-25,expert,blitz,"Sicilian Defense: Richter-Rauzer Variation, Ivanov Variation",2
0-25,expert,blitz,"Sicilian Defense: Richter-Rauzer Variation, Modern Variation",5
0-25,expert,blitz,"Sicilian Defense: Richter-Rauzer Variation, Neo-Modern Variation",25
0-25,expert,blitz,"Sicilian Defense: Richter-Rauzer Variation, Neo-Modern Variation, Early Deviations",6
0-25,expert,blitz,"Sicilian Defense: Richter-Rauzer Variation, Traditional Variation",2
0-25,expert,blitz,Sicilian Defense: Scheveningen Variation,2
0-25,expert,blitz,"Sicilian Defense: Scheveningen Variation, Classical Variation",6
0-25,expert,blitz,"Sicilian Defense: Scheveningen Variation, Delayed Keres Attack",1
0-25,expert,blitz,"Sicilian Defense: Scheveningen Variation, English Attack, with f3",8
0-25,expert,blitz,"Sicilian Defense: Scheveningen Variation, Keres Attack",32
0-25,expert,blitz,Sicilian Defense: Smith-Morra Gambit,29
0-25,expert,blitz,Sicilian Defense: Smith-Morra Gambit Accepted,48
0-25,expert,blitz,"Sicilian Defense: Smith-Morra Gambit Accepted, Classical Formation",1
0-25,expert,blitz,"Sicilian Defense: Smith-Morra Gambit Accepted, Danish Variation",5
0-25,expert,blitz,"Sicilian Defense: Smith-Morra Gambit Accepted, Fianchetto Defense",1
0-25,expert,blitz,"Sicilian Defense: Smith-Morra Gambit Accepted, Kan Formation",74
0-25,expert,blitz,"Sicilian Defense: Smith-Morra Gambit Accepted, Morphy Defense Deferred",2
0-25,expert,blitz,"Sicilian Defense: Smith-Morra Gambit Accepted, Paulsen Formation",3
0-25,expert,blitz,"Sicilian Defense: Smith-Morra Gambit Accepted, Pin Defense",10
0-25,expert,blitz,"Sicilian Defense: Smith-Morra Gambit Accepted, Scheveningen Formation",1
0-25,expert,blitz,"Sicilian Defense: Smith-Morra Gambit Declined, Alapin Formation",1
0-25,expert,blitz,"Sicilian Defense: Smith-Morra Gambit Declined, Center Formation",1
0-25,expert,blitz,"Sicilian Defense: Smith-Morra Gambit Declined, Dubois Variation",4
0-25,expert,blitz,"Sicilian Defense: Smith-Morra Gambit Declined, Push Variation",13
0-25,expert,blitz,"Sicilian Defense: Smith-Morra Gambit Declined, Scandinavian Formation",4
0-25,expert,blitz,Sicilian Defense: Smith-Morra Gambit Deferred,51
0-25,expert,blitz,Sicilian Defense: Snyder Variation,25
0-25,expert,blitz,"Sicilian Defense: Snyder Variation, Queen Fianchetto Variation",1
0-25,expert,blitz,Sicilian Defense: Sozin Attack,3
0-25,expert,blitz,"Sicilian Defense: Sozin Attack, Flank Variation",6
0-25,expert,blitz,"Sicilian Defense: Sozin Attack, Leonhardt Variation",3
0-25,expert,blitz,"Sicilian Defense: Sozin Attack, Main Line",1
0-25,expert,blitz,Sicilian Defense: Staunton-Cochrane Variation,21
0-25,expert,blitz,Sicilian Defense: Taimanov Variation,89
0-25,expert,blitz,"Sicilian Defense: Taimanov Variation, Bastrikov Variation",84
0-25,expert,blitz,"Sicilian Defense: Taimanov Variation, Bastrikov Variation, English Attack",28
0-25,expert,blitz,"Sicilian Defense: Taimanov Variation, Modern Line",1
0-25,expert,blitz,"Sicilian Defense: Taimanov Variation, Normal Variation",18
0-25,expert,blitz,"Sicilian Defense: Taimanov Variation, Szén Variation",12
0-25,expert,blitz,Sicilian Defense: Venice Attack,3
0-25,expert,blitz,Sicilian Defense: Wing Gambit,36
0-25,expert,blitz,Sicilian Defense: Wing Gambit Deferred,17
0-25,expert,blitz,"Sicilian Defense: Wing Gambit, Abrahams Variation",4
0-25,expert,blitz,"Sicilian Defense: Wing Gambit, Carlsbad Variation",1
0-25,expert,blitz,"Sicilian Defense: Wing Gambit, Deferred Variation",2
0-25,expert,blitz,"Sicilian Defense: Wing Gambit, Marshall Variation",10
0-25,expert,blitz,Slav Defense,53
0-25,expert,blitz,Slav Defense: Alapin Variation,4
0-25,expert,blitz,Slav Defense: Alekhine Variation,1
0-25,expert,blitz,Slav Defense: Bonet Gambit,2
0-25,expert,blitz,Slav Defense: Breyer Variation,5
0-25,expert,blitz,Slav Defense: Chebanenko Variation,31
0-25,expert,blitz,"Slav Defense: Chebanenko Variation, Advance System",11
0-25,expert,blitz,Slav Defense: Czech Variation,3
0-25,expert,blitz,"Slav Defense: Czech Variation, Bled Attack",1
0-25,expert,blitz,"Slav Defense: Czech Variation, Carlsbad Variation",1
0-25,expert,blitz,"Slav Defense: Czech Variation, Classical System, Main Line",3
0-25,expert,blitz,"Slav Defense: Czech Variation, Dutch Variation",5
0-25,expert,blitz,"Slav Defense: Czech Variation, Krause Attack",9
0-25,expert,blitz,"Slav Defense: Czech Variation, Wiesbaden Variation",1
0-25,expert,blitz,Slav Defense: Diemer Gambit,1
0-25,expert,blitz,Slav Defense: Exchange Variation,328
0-25,expert,blitz,"Slav Defense: Exchange Variation, Boor Attack",3
0-25,expert,blitz,"Slav Defense: Exchange Variation, Symmetrical Line",23
0-25,expert,blitz,"Slav Defense: Exchange Variation, Trifunovic Variation",1
0-25,expert,blitz,Slav Defense: Geller Gambit,22
0-25,expert,blitz,Slav Defense: Modern Line,45
0-25,expert,blitz,Slav Defense: Quiet Variation,10
0-25,expert,blitz,"Slav Defense: Quiet Variation, Pin Defense",12
0-25,expert,blitz,"Slav Defense: Quiet Variation, Schallopp Defense",18
0-25,expert,blitz,Slav Defense: Schlechter Variation,12
0-25,expert,blitz,Slav Defense: Steiner Variation,3
0-25,expert,blitz,Slav Defense: Three Knights Variation,29
0-25,expert,blitz,Slav Defense: Two Knights Attack,6
0-25,expert,blitz,Slav Defense: Winawer Countergambit,1
0-25,expert,blitz,Slav Indian,17
0-25,expert,blitz,Sodium Attack,1
0-25,expert,blitz,St. George Defense,30
